Exporter,Importer,Value
Thailand,"China, Hong Kong SAR",230184.0
Canada,Saudi Arabia,229593.0
United States of America,Italy,228504.0
Belgium,Italy,226924.0
Italy,France,226918.0
New Zealand,Netherlands,226354.0
Ukraine,Libya,224603.0
Canada,Sri Lanka,223627.0
Belgium,United Kingdom,222627.0
Russian Federation,Sudan,221034.0
Czechia,Slovakia,219902.0
Netherlands,Israel,217656.0
Australia,New Zealand,217189.0
Romania,Jordan,216484.0
Pakistan,Saudi Arabia,213873.0
Thailand,Malaysia,212210.0
India,Oman,211981.0
Brazil,Singapore,209094.0
India,Turkey,208775.0
Ukraine,Japan,207789.0
Denmark,Sweden,207412.0
India,United States of America,206914.0
Russian Federation,Nigeria,206226.0
United States of America,Chile,205380.0
India,Ethiopia,205151.0
Uruguay,Iraq,204607.0
Paraguay,Chile,204456.0
Ireland,France,202679.0
"China, mainland",Republic of Korea,202273.0
Brazil,Angola,202049.0
Portugal,Spain,198745.0
Argentina,Chile,197700.0
United States of America,Iraq,197222.0
United States of America,Cuba,197048.0
New Zealand,United States of America,196770.0
United States of America,Turkey,196104.0
Spain,Japan,195117.0
Germany,Switzerland,194675.0
Slovenia,Italy,193616.0
Romania,Spain,193577.0
Germany,Czechia,192501.0
Canada,Sudan,191156.0
India,Malaysia,190786.0
United States of America,Russian Federation,190172.0
Kazakhstan,Tajikistan,189409.0
Netherlands,Ireland,188773.0
Poland,Czechia,188748.0
Germany,Spain,187625.0
United Kingdom,Spain,186793.0
Canada,Republic of Korea,186627.0
New Zealand,Germany,186458.0
Bulgaria,Spain,186242.0
Russian Federation,Republic of Korea,184322.0
India,United Kingdom,184142.0
Bulgaria,Greece,184126.0
Thailand,Indonesia,183781.0
Argentina,Peru,183251.0
France,Côte d'Ivoire,181217.0
Argentina,Indonesia,180846.0
Australia,Nigeria,180797.0
Pakistan,Iran (Islamic Republic of),180276.0
"China, Hong Kong SAR","China, Taiwan Province of",179966.0
Australia,Philippines,179189.0
Australia,Thailand,179152.0
United States of America,Thailand,177276.0
United Kingdom,Germany,177079.0
Ukraine,United Kingdom,176087.0
Romania,Italy,175986.0
United States of America,Jamaica,175441.0
India,Nigeria,172928.0
Australia,"China, Taiwan Province of",172546.0
Australia,Singapore,172519.0
Thailand,Singapore,172418.0
Germany,Morocco,170677.0
Mexico,Venezuela (Bolivarian Republic of),169803.0
Spain,United Kingdom,169408.0
Kazakhstan,Uzbekistan,167777.0
Russian Federation,Israel,167513.0
Thailand,Angola,167152.0
Brazil,Morocco,167015.0
Australia,Papua New Guinea,166985.0
United States of America,Israel,166336.0
United States of America,Panama,165866.0
United States of America,Spain,165553.0
South Africa,"China, Taiwan Province of",165141.0
Bulgaria,Libya,165045.0
India,Viet Nam,164430.0
Hungary,Germany,164233.0
Canada,Chile,162780.0
Australia,Sudan,162627.0
Russian Federation,Georgia,162559.0
Netherlands,Poland,160341.0
South Africa,Zimbabwe,159741.0
Pakistan,"China, mainland",158968.0
Canada,Iraq,158176.0
India,Guinea,157088.0
France,Yemen,156954.0
Viet Nam,Malaysia,156068.0
Canada,Ecuador,155544.0
Brazil,Netherlands,155066.0
Pakistan,Afghanistan,154886.0
Russian Federation,Jordan,154794.0
Pakistan,Oman,154467.0
Brazil,Yemen,154269.0
Poland,Spain,153999.0
Brazil,Algeria,153328.0
Ukraine,Jordan,152844.0
Brazil,Cuba,149975.0
Argentina,United States of America,149401.0
Thailand,Mozambique,148482.0
Russian Federation,Libya,148385.0
Kazakhstan,Russian Federation,148369.0
Russian Federation,Kenya,148356.0
India,South Africa,148000.0
Germany,Greece,147700.0
Romania,Netherlands,146315.0
Canada,United Kingdom,145521.0
Poland,France,144951.0
Canada,Spain,144193.0
Latvia,Lithuania,143631.0
Poland,Slovakia,143559.0
Viet Nam,Indonesia,143538.0
Ukraine,Portugal,143323.0
United Kingdom,Belgium,142461.0
Canada,Belgium,142348.0
Brazil,Oman,141349.0
France,Switzerland,139860.0
Denmark,"China, mainland",139667.0
India,Jordan,139658.0
Thailand,Lao People's Democratic Republic,138268.0
Kazakhstan,Azerbaijan,137396.0
Uruguay,"China, mainland",137338.0
France,Senegal,137188.0
Brazil,Qatar,137093.0
Ukraine,Turkey,136657.0
Argentina,Republic of Korea,136573.0
Slovakia,Czechia,136452.0
Romania,Libya,135006.0
Malaysia,Singapore,133766.0
Ukraine,Morocco,133700.0
Netherlands,Spain,133519.0
Canada,United Arab Emirates,133436.0
Thailand,Ghana,132949.0
Germany,Republic of Korea,132707.0
New Zealand,France,132704.0
Slovakia,Austria,132676.0
Greece,Italy,132226.0
Spain,"China, mainland",129588.0
France,Cameroon,127405.0
Russian Federation,Mexico,127129.0
Bulgaria,Italy,127086.0
Russian Federation,United Arab Emirates,126173.0
Ukraine,Pakistan,125317.0
Netherlands,Japan,124923.0
South Africa,Botswana,124726.0
Argentina,Jordan,124201.0
Poland,Morocco,123757.0
Pakistan,United Kingdom,123675.0
Argentina,Cuba,123414.0
United Arab Emirates,Oman,122231.0
Slovakia,Hungary,121641.0
Brazil,Iraq,121270.0
Ukraine,Germany,121093.0
United States of America,Jordan,121085.0
Spain,Germany,120124.0
Viet Nam,"China, Hong Kong SAR",120033.0
United States of America,Trinidad and Tobago,119992.0
Guyana,Venezuela (Bolivarian Republic of),119956.0
Kazakhstan,Kyrgyzstan,119573.0
Brazil,Libya,119562.0
Romania,Turkey,119559.0
Germany,Algeria,119053.0
Denmark,United States of America,118059.0
Canada,Cuba,117691.0
Saudi Arabia,United Arab Emirates,117125.0
Germany,South Africa,117092.0
Australia,Egypt,117035.0
Australia,Bahrain,116656.0
Australia,Jordan,115941.0
Netherlands,Denmark,115816.0
Argentina,Yemen,115251.0
United States of America,Ghana,113863.0
Germany,Norway,113725.0
United States of America,United Arab Emirates,113464.0
United Republic of Tanzania,Kenya,112910.0
New Zealand,Saudi Arabia,112702.0
Brazil,Jordan,112038.0
Uruguay,Peru,111773.0
Ukraine,Belgium,111327.0
Thailand,Senegal,111198.0
Romania,Ukraine,110805.0
Latvia,Iran (Islamic Republic of),110644.0
Romania,Saudi Arabia,108934.0
India,Singapore,108795.0
Brazil,Spain,108716.0
Australia,Oman,108609.0
Argentina,Iraq,108340.0
Russian Federation,Armenia,108145.0
France,Cuba,108050.0
Pakistan,Malaysia,107273.0
Russian Federation,United Republic of Tanzania,106557.0
Australia,United Kingdom,106525.0
Viet Nam,Côte d'Ivoire,106430.0
India,Liberia,106029.0
United Kingdom,Algeria,105905.0
United States of America,Yemen,104156.0
Lithuania,Latvia,103789.0
South Africa,Lesotho,103710.0
United States of America,Kazakhstan,103618.0
Australia,Qatar,103503.0
Spain,Netherlands,103110.0
Italy,United Kingdom,102187.0
Argentina,United Arab Emirates,102173.0
Netherlands,Russian Federation,101602.0
United States of America,Ecuador,100962.0
Czechia,Austria,100485.0
Ukraine,Lebanon,99895.0
Canada,"China, Hong Kong SAR",99749.0
Denmark,Netherlands,99661.0
Russian Federation,Morocco,99421.0
Romania,United Kingdom,98739.0
France,Tunisia,98692.0
Netherlands,South Africa,98491.0
Argentina,Viet Nam,98375.0
Russian Federation,Netherlands,97888.0
South Africa,Mozambique,97361.0
Mexico,Turkey,97128.0
India,Côte d'Ivoire,96677.0
Netherlands,Sweden,96335.0
Brazil,South Africa,95994.0
Australia,"China, Hong Kong SAR",95429.0
Sweden,Germany,95401.0
Serbia,Republic of Korea,95142.0
Thailand,Niger,94640.0
Argentina,Tunisia,94253.0
Canada,Brazil,93867.0
Lithuania,Saudi Arabia,93826.0
Pakistan,Yemen,92798.0
Iran (Islamic Republic of),Iraq,92702.0
Ukraine,Bangladesh,92617.0
Ukraine,Ethiopia,92408.0
Germany,Romania,92312.0
United Kingdom,"China, Hong Kong SAR",91987.0
Canada,Netherlands,91225.0
Ukraine,Indonesia,90840.0
Netherlands,"China, Hong Kong SAR",90777.0
Romania,Ethiopia,90407.0
Ukraine,Thailand,90246.0
Spain,Belgium,90026.0
"China, Hong Kong SAR","China, Macao SAR",90020.0
Germany,Sweden,89964.0
Ukraine,Kenya,89531.0
Australia,Myanmar,89504.0
Hungary,Russian Federation,89143.0
Singapore,Indonesia,89013.0
Hungary,Ukraine,88955.0
Thailand,Canada,88873.0
Hungary,Slovakia,88625.0
Hungary,Croatia,88148.0
Italy,Netherlands,87925.0
Hungary,Netherlands,87890.0
Ireland,Germany,87654.0
United States of America,Malaysia,87523.0
Italy,Greece,87483.0
Russian Federation,Latvia,86938.0
Argentina,"China, mainland",86808.0
Poland,Lithuania,86402.0
United States of America,Algeria,85857.0
Poland,United States of America,85837.0
Czechia,Poland,85830.0
Bulgaria,Syrian Arab Republic,85791.0
Serbia,Bosnia and Herzegovina,85549.0
Italy,Tunisia,85167.0
Australia,Canada,85116.0
United States of America,Georgia,84882.0
South Africa,Namibia,84631.0
India,Djibouti,84231.0
Sweden,Denmark,83852.0
Poland,Hungary,83794.0
Argentina,Colombia,83222.0
Poland,"China, Hong Kong SAR",83134.0
Thailand,Togo,82750.0
Ukraine,Syrian Arab Republic,82717.0
Romania,Greece,82076.0
Belgium,Luxembourg,81530.0
Slovakia,Italy,81134.0
Estonia,Lithuania,80758.0
Netherlands,Saudi Arabia,80729.0
France,Poland,80587.0
United States of America,Ethiopia,79482.0
Ukraine,South Africa,79374.0
Luxembourg,Germany,79181.0
South Africa,Eswatini,79170.0
Russian Federation,Indonesia,78604.0
Spain,Republic of Korea,78451.0
Russian Federation,Kazakhstan,78434.0
Brazil,Switzerland,78191.0
Croatia,Italy,78179.0
Russian Federation,Peru,78122.0
Ukraine,Russian Federation,78001.0
Thailand,Netherlands,77964.0
Austria,Slovenia,77811.0
Thailand,France,77642.0
"China, mainland",Malaysia,77371.0
Pakistan,Madagascar,76607.0
Australia,United Republic of Tanzania,76227.0
India,Somalia,76124.0
Slovakia,Poland,75888.0
France,Hungary,75389.0
Thailand,Australia,74769.0
Germany,Yemen,74568.0
New Zealand,Canada,74544.0
Romania,France,74208.0
Canada,Ghana,74096.0
Romania,Hungary,73446.0
Denmark,Spain,73073.0
Canada,Portugal,72877.0
"China, mainland",Kyrgyzstan,72847.0
United States of America,Portugal,72720.0
Germany,Hungary,72467.0
Netherlands,Austria,72264.0
Austria,Hungary,72161.0
Canada,Tunisia,71915.0
Australia,Fiji,70957.0
Spain,Tunisia,70844.0
France,Ireland,70738.0
Russian Federation,Lebanon,70572.0
Kazakhstan,"China, mainland",70393.0
Lithuania,Poland,70195.0
Canada,Russian Federation,70175.0
"China, Hong Kong SAR",Thailand,70174.0
Poland,Algeria,69919.0
France,Nigeria,69763.0
India,Canada,69576.0
Brazil,Chile,69391.0
Pakistan,Mozambique,69373.0
Turkey,Syrian Arab Republic,69078.0
Romania,Russian Federation,68997.0
United States of America,Singapore,68954.0
Brazil,Philippines,68871.0
Poland,Bulgaria,68703.0
United States of America,Netherlands,68459.0
Saudi Arabia,Qatar,68370.0
Hungary,Slovenia,68040.0
Pakistan,United Republic of Tanzania,67927.0
India,Netherlands,67704.0
Singapore,Iran (Islamic Republic of),67692.0
Bulgaria,Republic of Korea,67489.0
France,Luxembourg,67301.0
Italy,Turkey,67238.0
Serbia,Russian Federation,67055.0
India,Madagascar,66673.0
Canada,United Republic of Tanzania,66627.0
France,Austria,66496.0
Poland,Denmark,66338.0
Thailand,Guinea,66223.0
Viet Nam,Singapore,65945.0
France,Denmark,65821.0
New Zealand,Republic of Korea,65422.0
Lithuania,Egypt,65311.0
Ukraine,Algeria,64951.0
India,Republic of Korea,64661.0
United States of America,Morocco,64062.0
Romania,Bulgaria,63934.0
Russian Federation,Oman,63929.0
Canada,Mozambique,63536.0
Netherlands,Croatia,63520.0
Hungary,Bosnia and Herzegovina,63260.0
United States of America,Pakistan,63009.0
Netherlands,United States of America,62992.0
France,Ukraine,62815.0
Spain,Poland,62626.0
Pakistan,Bahrain,62536.0
Ukraine,Ireland,62405.0
Thailand,Saudi Arabia,62271.0
Brazil,Dominican Republic,62239.0
United States of America,United Kingdom,62106.0
Ireland,Netherlands,62081.0
United States of America,Bolivia (Plurinational State of),61951.0
New Zealand,Belgium,61854.0
Thailand,Yemen,61645.0
France,Russian Federation,61380.0
Slovakia,Germany,61363.0
Chile,"China, mainland",61254.0
Germany,"China, Hong Kong SAR",61235.0
Poland,Sweden,60831.0
Netherlands,Romania,60277.0
Kazakhstan,Turkey,60256.0
United Kingdom,Portugal,60250.0
Chile,Netherlands,60218.0
Cambodia,France,59920.0
France,Mauritania,59658.0
Pakistan,Uganda,59280.0
Russian Federation,Greece,59124.0
Ukraine,Yemen,58740.0
United States of America,Bahamas,58721.0
"China, mainland",Iran (Islamic Republic of),58720.0
Canada,Cameroon,58702.0
Romania,Israel,58539.0
Germany,Libya,58380.0
Ukraine,Belarus,58302.0
Russian Federation,Pakistan,58003.0
Thailand,United Kingdom,57990.0
Chile,Mexico,57645.0
Italy,Austria,57550.0
South Africa,Republic of Korea,57535.0
Republic of Moldova,Italy,57507.0
Italy,Belgium,57440.0
Spain,Greece,57342.0
Russian Federation,Italy,57189.0
Romania,Tunisia,56746.0
Germany,Ireland,56650.0
Ethiopia,United Arab Emirates,56471.0
India,Italy,56343.0
Russian Federation,Uganda,56281.0
Austria,Netherlands,56236.0
Australia,Kenya,55713.0
United Kingdom,South Africa,55646.0
Pakistan,Kuwait,55483.0
Romania,Republic of Korea,55001.0
Netherlands,Czechia,54859.0
United Kingdom,Italy,54794.0
Germany,Portugal,54563.0
Belgium,Czechia,54491.0
Australia,South Africa,54479.0
Poland,Romania,54472.0
Ukraine,Iraq,54401.0
United States of America,Nicaragua,53818.0
India,Mauritius,53637.0
United Arab Emirates,Qatar,53597.0
Ukraine,Philippines,53592.0
Kuwait,Iraq,53538.0
Thailand,Viet Nam,53522.0
Argentina,United Kingdom,53381.0
Turkey,"China, Hong Kong SAR",53374.0
Canada,Ireland,53016.0
Argentina,Kuwait,52734.0
"China, mainland",Democratic People's Republic of Korea,52159.0
Germany,Cuba,51768.0
Lithuania,Netherlands,51468.0
Thailand,Israel,51319.0
Estonia,Latvia,50912.0
Ukraine,Uganda,50834.0
Denmark,Japan,50722.0
Germany,Croatia,50676.0
Netherlands,Australia,50466.0
Australia,Algeria,50329.0
France,Republic of Korea,50313.0
Latvia,Spain,50310.0
Thailand,United Arab Emirates,50273.0
Sweden,Spain,50246.0
Brazil,Senegal,49865.0
Denmark,France,49852.0
Pakistan,Belgium,49847.0
New Zealand,Malaysia,49743.0
